year,decade,rank,title,artist
1962,1960s,8,Let Me In,The Sensations
1962,1960s,9,The Twist,Chubby Checker
1962,1960s,10,Soldier Boy,The Shirelles
1962,1960s,11,Hey! Baby,Bruce Channel
1962,1960s,12,The Wanderer,Dion
1962,1960s,13,Duke of Earl,Gene Chandler
1962,1960s,14,Palisades Park,Freddy Cannon
1962,1960s,15,Breaking Up Is Hard to Do,Neil Sedaka
1962,1960s,16,Wolverton Mountain,Claude King
1962,1960s,17,Slow Twistin',Chubby Checker & Dee Dee Sharp
1962,1960s,18,It Keeps Right On a-Hurtin',Johnny Tillotson
1962,1960s,19,The One Who Really Loves You,Mary Wells
1962,1960s,20,Good Luck Charm,Elvis Presley
1962,1960s,21,Midnight in Moscow,Kenny Ball
1962,1960s,22,Sheila,Tommy Roe
1962,1960s,23,Twistin' the Night Away,Sam Cooke
1962,1960s,24,The Wah-Watusi,The Orlons
1962,1960s,25,Peppermint Twist,Joey Dee and the Starliters
1962,1960s,26,Break It to Me Gently,Brenda Lee
1962,1960s,27,Playboy,The Marvelettes
1962,1960s,28,Ramblin' Rose,Nat King Cole
1962,1960s,29,Sealed with a Kiss,Brian Hyland
1962,1960s,30,She Cried,Jay and the Americans
1962,1960s,31,Don't Break the Heart That Loves You,Connie Francis
1962,1960s,32,Dear Lady Twist,Gary U.S. Bonds
1962,1960s,33,Norman,Sue Thompson
1962,1960s,34,Love Letters,Ketty Lester
1962,1960s,35,Party Lights,Claudine Clark
1962,1960s,36,Cotton Fields,The Highwaymen
1962,1960s,37,Alley Cat,Bent Fabric
1962,1960s,38,Twist and Shout,The Isley Brothers
1962,1960s,39,Theme from Dr. Kildare (Three Stars Will Shine Tonight),Richard Chamberlain
1962,1960s,40,Tuff,Ace Cannon
1962,1960s,41,Lover Please,Clyde McPhatter
1962,1960s,42,I Know (You Don't Love Me No More),Barbara George
1962,1960s,43,Young World,Ricky Nelson
1962,1960s,44,Baby It's You,The Shirelles
1962,1960s,45,Speedy Gonzales,Pat Boone
1962,1960s,46,A Little Bitty Tear,Burl Ives
1962,1960s,47,Crying in the Rain,The Everly Brothers
1962,1960s,48,Al di là,Emilio Pericoli
1962,1960s,49,Shout! Shout! (Knock Yourself Out),Ernie Maresca
1962,1960s,50,What's Your Name,Don and Juan
1962,1960s,51,Smoky Places,The Corsairs
1962,1960s,52,Having a Party,Sam Cooke
1962,1960s,53,Green Onions,Booker T. & the M.G.'s
1962,1960s,54,You Don't Know Me,Ray Charles
1962,1960s,55,Sherry,The Four Seasons
1962,1960s,56,Johnny Get Angry,Joanie Sommers
1962,1960s,57,Can't Help Falling in Love,Elvis Presley
1962,1960s,58,Shout,Joey Dee and the Starliters
1962,1960s,59,Rinky Dink,"Dave ""Baby"" Cortez"
1962,1960s,60,Moon River,Henry Mancini
1962,1960s,61,Ahab the Arab,Ray Stevens
1962,1960s,62,Things,Bobby Darin
1962,1960s,63,(The Man Who Shot) Liberty Valance,Gene Pitney
1962,1960s,64,You Belong to Me,The Duprees
1962,1960s,65,Dream Baby (How Long Must I Dream),Roy Orbison
1962,1960s,66,Snap Your Fingers,Joe Henderson
1962,1960s,67,Lovers Who Wander,Dion
1962,1960s,68,Let's Dance,Chris Montez
1962,1960s,69,Cindy's Birthday,Johnny Crawford
1962,1960s,70,You Beat Me to the Punch,Mary Wells
1962,1960s,71,You'll Lose a Good Thing,Barbara Lynn
1962,1960s,72,Uptown,The Crystals
1962,1960s,73,Everybody Loves Me But You,Brenda Lee
1962,1960s,74,Patches,Dickey Lee
1962,1960s,75,Venus in Blue Jeans,Jimmy Clanton
1962,1960s,76,Love Me Warm and Tender,Paul Anka
1962,1960s,77,Teen Age Idol,Rick Nelson
1962,1960s,78,She's Got You,Patsy Cline
1962,1960s,79,Dear One,Larry Finnegan
1962,1960s,80,Her Royal Majesty,James Darren
1962,1960s,81,Old Rivers,Walter Brennan
1962,1960s,82,Funny Way of Laughin',Burl Ives
1962,1960s,83,A Swingin' Safari,Billy Vaughn
1962,1960s,84,Tell Me,Dick and Dee Dee
1962,1960s,85,PT-109,Jimmy Dean
1962,1960s,86,Little Diane,Dion
1962,1960s,87,Percolator (Twist),Billy Joe and the Checkmates
1962,1960s,88,"Twist, Twist Senora",Gary U.S. Bonds
1962,1960s,89,Twistin' Matilda,Jimmy Soul
1962,1960s,90,Gravy (For My Mashed Potatoes),Dee Dee Sharp
1962,1960s,91,Walk on the Wild Side,Jimmy Smith
1962,1960s,92,Soul Twist,King Curtis
1962,1960s,93,I'll Never Dance Again,Bobby Rydell
1962,1960s,94,I'm Blue (The Gong-Gong Song),The Ikettes
1962,1960s,95,Where Have All the Flowers Gone?,The Kingston Trio
1962,1960s,96,"(Girls, Girls, Girls) Made to Love",Eddie Hodges
1962,1960s,97,Town Without Pity,Gene Pitney
1962,1960s,98,If I Had a Hammer,"Peter, Paul and Mary"
1962,1960s,99,I Wish That We Were Married,Ronnie & the Hi-Lites
1962,1960s,100,Surfin' Safari,The Beach Boys
1963,1960s,1,Surfin' U.S.A.,The Beach Boys
1963,1960s,2,The End of the World,Skeeter Davis
1963,1960s,3,Rhythm of the Rain,The Cascades
1963,1960s,4,He's So Fine,The Chiffons
1963,1960s,5,Blue Velvet,Bobby Vinton
1963,1960s,6,Hey Paula,Paul & Paula
1963,1960s,7,Fingertips – Part 2,Little Stevie Wonder
1963,1960s,8,Can't Get Used to Losing You,Andy Williams
1963,1960s,9,My Boyfriend's Back,The Angels
1963,1960s,10,Sukiyaki,Kyu Sakamoto
1963,1960s,11,So Much in Love,The Tymes
1963,1960s,12,"Puff, the Magic Dragon","Peter, Paul and Mary"
1963,1960s,14,Wipe Out,The Surfaris
1963,1960s,15,I Love You Because,Al Martino
1963,1960s,16,Wild Weekend,The Rebels
1963,1960s,17,You're the Reason I'm Living,Bobby Darin
1963,1960s,18,Walk Like a Man,The Four Seasons
1963,1960s,19,Mockingbird,Inez and Charlie Foxx
1963,1960s,20,I Will Follow Him,Little Peggy March
1963,1960s,21,Pipeline,The Chantays
1963,1960s,22,Surf City,Jan and Dean
1963,1960s,23,It's My Party,Lesley Gore
1963,1960s,24,Blame It on the Bossa Nova,Eydie Gormé
1963,1960s,25,You Can't Sit Down,The Dovells
1963,1960s,26,Heat Wave,Martha and the Vandellas
1963,1960s,27,Denise,Randy & the Rainbows
1963,1960s,28,Walk Right In,The Rooftop Singers
1963,1960s,29,If You Wanna Be Happy,Jimmy Soul
1963,1960s,30,If I Had a Hammer,Trini Lopez
1963,1960s,31,Easier Said Than Done,The Essex
1963,1960s,32,Ruby Baby,Dion
1963,1960s,33,Our Day Will Come,Ruby & the Romantics
1963,1960s,34,Hello Stranger,Barbara Lewis
1963,1960s,35,Be My Baby,The Ronettes
1963,1960s,36,South Street,The Orlons
1963,1960s,37,Days of Wine and Roses,Henry Mancini
1963,1960s,38,The Monkey Time,Major Lance
1963,1960s,39,Candy Girl,The Four Seasons
1963,1960s,40,Sugar Shack,Jimmy Gilmer and the Fireballs
1963,1960s,41,Still,Bill Anderson
1963,1960s,42,Blue on Blue,Bobby Vinton
1963,1960s,43,Cry Baby,Garnet Mimms & the Enchanters
1963,1960s,44,Two Faces Have I,Lou Christie
1963,1960s,45,Busted,Ray Charles
1963,1960s,46,Da Doo Ron Ron,The Crystals
1963,1960s,47,Foolish Little Girl,The Shirelles
1963,1960s,48,Memphis,Lonnie Mack
1963,1960s,49,In Dreams,Roy Orbison
1963,1960s,50,More,Kai Winding
1963,1960s,51,I Can't Stay Mad at You,Skeeter Davis
1963,1960s,52,Losing You,Brenda Lee
1963,1960s,53,Mean Woman Blues,Roy Orbison
1963,1960s,54,Our Winter Love,Bill Pursell
1963,1960s,55,I Wanna Be Around,Tony Bennett
1963,1960s,56,You've Really Got a Hold on Me,The Miracles
1963,1960s,57,Sally Go 'Round the Roses,The Jaynetts
1963,1960s,58,(You're the) Devil in Disguise,Elvis Presley
1963,1960s,59,Those Lazy-Hazy-Crazy Days of Summer,Nat King Cole
1963,1960s,60,Baby Workout,Jackie Wilson
1963,1960s,61,Pride and Joy,Marvin Gaye
1963,1960s,62,Deep Purple,Nino Tempo & April Stevens
1963,1960s,63,From a Jack to a King,Ned Miller
1963,1960s,64,Up on the Roof,The Drifters
1963,1960s,65,What Will Mary Say,Johnny Mathis
1963,1960s,66,Mama Didn't Lie,Jan Bradley
1963,1960s,67,The Night Has a Thousand Eyes,Bobby Vee
1963,1960s,68,Don't Say Nothin' Bad (About My Baby),The Cookies
1963,1960s,69,Ring of Fire,Johnny Cash
1963,1960s,70,Just One Look,Doris Troy
1963,1960s,71,"Hello Muddah, Hello Fadduh (A Letter from Camp)",Allan Sherman
1963,1960s,72,Judy's Turn to Cry,Lesley Gore
1963,1960s,73,"Tie Me Kangaroo Down, Sport",Rolf Harris
1963,1960s,74,Fools Rush In,Rick Nelson
1963,1960s,75,Washington Square,The Village Stompers
1963,1960s,76,Donna the Prima Donna,Dion
1963,1960s,77,"That Sunday, That Summer",Nat King Cole
1963,1960s,78,Another Saturday Night,Sam Cooke
1963,1960s,79,"Painted, Tainted Rose",Al Martino
1963,1960s,80,Go Away Little Girl,Steve Lawrence
1963,1960s,81,Take These Chains from My Heart,Ray Charles
1963,1960s,82,Talk to Me,Sunny & the Sunglows
1963,1960s,83,Come and Get These Memories,Martha and the Vandellas
1963,1960s,84,Do the Bird,Dee Dee Sharp
1963,1960s,85,It's All Right,The Impressions
1963,1960s,86,Shut Down,The Beach Boys
1963,1960s,87,One Fine Day,The Chiffons
1963,1960s,88,Little Town Flirt,Del Shannon
1963,1960s,89,Fly Me to the Moon,Joe Harnell
1963,1960s,90,The Reverend Mr. Black,The Kingston Trio
1963,1960s,91,Hot Pastrami,The Dartells
1963,1960s,92,Martian Hop,The Ran-Dells
1963,1960s,93,Wonderful! Wonderful!,The Tymes
1963,1960s,94,Abilene,George Hamilton IV
1963,1960s,95,Part Time Love,Little Johnny Taylor
1963,1960s,96,Maria Elena,Los Indios Tabajaras
1963,1960s,97,Detroit City,Bobby Bare
1963,1960s,98,Twenty Miles,Chubby Checker
1963,1960s,99,"Green, Green",The New Christy Minstrels
1963,1960s,100,Hey Girl,Freddie Scott
1964,1960s,1,I Want to Hold Your Hand,The Beatles
1964,1960s,3,"Hello, Dolly!",Louis Armstrong
1964,1960s,4,"Oh, Pretty Woman",Roy Orbison
1964,1960s,5,I Get Around,The Beach Boys
1964,1960s,6,Everybody Loves Somebody,Dean Martin
1964,1960s,7,My Guy,Mary Wells
1964,1960s,8,We'll Sing in the Sunshine,Gale Garnett
1964,1960s,9,Last Kiss,J. Frank Wilson and the Cavaliers
1964,1960s,10,Where Did Our Love Go,The Supremes
1964,1960s,11,People,Barbra Streisand
1964,1960s,12,Java,Al Hirt
1964,1960s,13,A Hard Day's Night,The Beatles
1964,1960s,15,Do Wah Diddy Diddy,Manfred Mann
1964,1960s,16,Please Please Me,The Beatles
1964,1960s,17,Dancing in the Street,Martha and the Vandellas
